turns,victory_status,winner,moves
66,mate,black, d2d4 d7d5 c2c4 g8f6 b1c3 b8c6 g1f3 e7e6 e2e3 f8d6 f1d3 f6e4 d3e4 d5e4 f3e5 f7f5 e5c6 b7c6 d1h5 g7g6 h5d1 e8g8 e1g1 d6b4 a2a3 b4c3 b2c3 d8e7 h2h3 c6c5 d4d5 e6d5 c4d5 c8a6 a3a4 a6f1 d1f1 a7a5 c1a3 e7e5 f1d1 f5f4 e3f4 e5f4 a3c5 f8f7 d5d6 c7d6 c5b6 a8b8 b6a7 f7a7 d1d5 g8g7 d5d4 g7f8 d4a7 b8e8 a7a5 e4e3 a1f1 e3f2 f1f2 e8e1 f2f1 e1f1
64,mate,black, e2e4 c7c5 g1f3 d7d6 f1b5 c8d7 b5d7 b8d7 e1g1 g8f6 b1c3 g7g6 d2d3 f8g7 c1g5 e8g8 c3d5 f6d5 e4d5 g7b2 g5h6 b2g7 h6g7 g8g7 f3g5 g7g8 d3d4 c5c4 c2c3 e7e5 f1e1 d8g5 d1a4 f8d8 a4a3 e5d4 c3d4 g5d5 a1d1 d8e8 e1e3 e8e3 f2e3 b7b6 d1e1 d7f6 a3c3 f6e4 c3b4 c4c3 e1c1 a8c8 b4a4 a7a5 a4d7 c8f8 d7a7 d5a2 a7b6 a2f2 g1h1 f2d2 c1g1 e4f2
32,draw,draw, e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1g5 f8g7 g5f6 g7f6 f1b5 c8d7 b5d7 b8d7 e1g1 f6d4 d1d4 e8g8 f2f3 d8b6 d4b6 d7b6 c3d5 b6d5 e4d5 a8c8 c2c3 c8c5
35,mate,white, e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 f1c4 c8e6 c4e6 c6d4 e6f7 f8f7 e3d4 d6d5 e4e5 f6e8 e5e6 f7f8 e1c1 g7d4 d2d4 d8a5 c3d5 a8c8 d5e7
41,mate,white, e2e4 d7d5 e4d5 d8d5 d1f3 d5e5 g1e2 g8f6 d2d4 e5d5 f3d5 f6d5 a2a3 d5b6 e2g3 b8c6 c1e3 e7e5 d4e5 c6e5 b1d2 c8e6 e1c1 b6c4 d2c4 e5c4 f1c4 e6c4 h1e1 f8e7 g3f5 c4e6 f5g7 e8f8 e3h6 e6g4 f2f3 g4e6 g7e6 f8e8 e6c7
53,mate,white, d2d4 f7f5 e2e3 g8f6 b1c3 d7d5 f1b5 c7c6 b5d3 b7b5 d1f3 d8a5 d3f5 b8d7 f5d7 c8d7 a2a3 d7g4 f3f4 h7h5 b2b4 a5b6 h2h3 g4e6 g1f3 c6c5 b4c5 b6a5 c1b2 a8b8 f4b8 e8d7 b8b7 d7d8 b7a8 e6c8 c5c6 a5c7 c3b5 c7c6 a8c6 f6e4 c6c7 d8e8 c7c8 e8f7 f3e5 f7f6 b5c7 e7e6 c8e6 f6g5 h3h4
40,mate,black, e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 d8e7 g1e2 g8f6 d2d4 b8c6 e1g1 c8f5 c1g5 h7h6 g5f6 e7f6 b3d5 c6b4 d5b3 e8c8 a2a3 b4c6 c2c3 f8d6 e2g3 g7g6 b1d2 h6h5 g3e4 f5e4 d2e4 d6h2 g1h1 f6h4 f2f3 h2g3 h1g1 h4h2
62,mate,black, d2d4 d7d6 c1f4 e7e6 g1f3 b8c6 e2e3 g8f6 b1d2 d6d5 f1b5 c8d7 a2a3 a7a6 b5c6 d7c6 f3e5 c6d7 e1g1 g7g6 c2c4 f8g7 c4d5 e6d5 d1b3 f6e4 e5f7 e8f7 b3d5 d7e6 d5e4 h8e8 e4b7 e6d5 b7c7 f7g8 c7d8 e8d8 a1c1 h7h6 f2f3 g6g5 f4e5 g7f8 e3e4 d5f7 d4d5 d8d7 d2c4 d7b7 b2b4 f7e8 e5d6 e8b5 d6f8 g8f8 f1f2 a8c8 c4d6 c8c1 f2f1 c1f1
87,mate,white, d2d4 g8f6 e2e3 g7g6 f2f4 f8g7 g1f3 d7d5 c2c4 e8g8 b1c3 c7c6 f1d3 e7e6 d1c2 b8a6 a2a3 c6c5 c4d5 e6d5 e1g1 c5c4 d3e2 c8f5 c2d1 a6c7 f3e5 f6e4 c3e4 f5e4 e2f3 e4f3 f1f3 f7f6 e5g4 h7h5 g4f2 f6f5 f3g3 g8h7 f2h3 h5h4 h3g5 h7h6 g3h3 g7f6 h3h4 h6g7 h4h7 g7g8 h7h6 f6g5 h6g6 g8f7 g6g5 f7e6 d1h5 f8f6 c1d2 d8h8 a1f1 h8h5 g5h5 a8g8 f1f3 f6g6 g2g3 c7e8 h5h7 e8d6 d2b4 d6e4 h7b7 c4c3 b4c3 e4c3 b2c3 g8a8 f3f1 g6g8 f1b1 g8d8 b7h7 d8c8 b1b7 c8c3 h7h6
54,mate,black, e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 d4c5 f8c5 g1f3 b8c6 c2c3 d8c7 b2b4 c5b6 b1a3 a7a6 d1a4 c8d7 b4b5 c6e5 c1f4 e5d3 f1d3 c7c3 e1e2 c3b2 d3c2 g8e7 h1b1 b2f6 f4e5 f6h6 a4g4 e7g6 e5d4 e6e5 g4g5 e5d4 g5d5 g6f4 e2f1 f4d5 b1e1 e8d8 f3e5 h6f4 g2g3 f4f6 e5d7 d8d7 e1d1 d4d3 d1d3 f6f2
64,mate,black, e2e4 e7e6 f2f4 d7d5 e4e5 c7c5 g1f3 b8c6 c2c3 g8h6 d2d4 c5d4 c3d4 d8a5 c1d2 f8b4 b1c3 h6f5 f1b5 b4c3 b5c6 b7c6 d2c3 a5b6 e1g1 f5e3 d1e2 e3f1 a1f1 c8a6 e2f2 a6f1 f2f1 c6c5 d4c5 b6c5 c3d4 c5a5 a2a3 a8c8 h2h3 e8g8 f1d3 c8c1 g1h2 f8c8 f3g5 g7g6 d3g3 a5e1 g3e1 c1e1 d4a7 c8c2 b2b4 e1e2 b4b5 e2g2 h2h1 c2a2 b5b6 g2b2 a3a4 a2a1
57,mate,white, d2d4 g8f6 c1f4 d7d5 g1f3 b8c6 e2e3 c8g4 h2h3 g4h5 c2c4 e7e6 d1a4 f6e4 c4c5 f8e7 f3e5 e8g8 g2g4 h5g6 h3h4 c6e5 d4e5 e4c5 a4d4 g6e4 h1h2 c7c6 b1d2 h7h6 b2b4 c5a4 a2a3 e7h4 f1d3 d8b6 d4b6 a7b6 d3e4 d5e4 h2h4 a4c3 g4g5 c6c5 g5h6 g7h6 f4h6 f8c8 d2c4 a8a6 c4d6 c8c7 d6e8 c7c8 e8f6 g8h8 h6f8
58,mate,black, a2a4 e7e5 h2h4 d7d5 b2b3 b8c6 e2e3 c8f5 f1b5 g8e7 g2g4 f5d7 b5c6 d7c6 d2d4 e5e4 b3b4 a7a6 c2c3 g7g6 a1a2 f8g7 b1d2 e8g8 f2f3 d8d7 g1h3 b7b5 a4a5 f7f5 h3g5 g7h6 f3e4 f5e4 d2f1 h6g5 h4g5 f8f7 a2h2 a8f8 f1g3 c6b7 h2h4 e7c8 d1e2 c8d6 h1h3 d6c4 e2h2 d7e7 h4h6 f7g7 e1e2 f8f7 c1d2 e7g5 d2e1 g5g4
34,mate,black, e2e4 e7e6 g1f3 d7d5 e4d5 e6d5 d2d4 c8g4 f1e2 d8e7 e1g1 b8c6 f1e1 e8c8 e2b5 e7f6 e1e3 g4f3 e3f3 f6d4 f3d3 d4c5 b1c3 g8f6 c1e3 c5d6 a2a4 h7h5 d1e2 f6g4 e3g5 d6h2 g1f1 h2h1
62,mate,black, d2d4 g8f6 g1f3 b7b6 c2c3 c8b7 d1b3 e7e6 f3e5 b8c6 c1g5 f8e7 g5f6 c6e5 f2f4 b7d5 c3c4 d5c4 f6e7 d8e7 b3g3 e7b4 b1c3 e5g6 f4f5 e6f5 e1c1 e8g8 d4d5 f5f4 a2a3 b4c5 g3g5 f7f6 b2b4 c5e7 g5g4 e7e3 c1b2 g6e5 d1d3 e5g4 d3e3 g4e3 g2g3 e3f1 h1f1 f4g3 h2g3 a8e8 f1f4 c4e2 c3b5 e2b5 f4d4 e8e2 b2c3 f8e8 d5d6 e8e3 d4d3 e3d3
85,mate,white, d2d4 e7e6 c1f4 d7d5 g1f3 d8e7 e2e3 c7c5 c2c3 c5d4 f1b5 c8d7 b5d7 b8d7 e3d4 g7g6 d1a4 a7a6 f3e5 b7b5 a4d1 f8g7 d1e2 g8f6 e5c6 e7f8 b1d2 f6h5 f4e5 g7e5 c6e5 f8e7 d2f3 e8g8 e5d7 e7d7 f3e5 d7e7 g2g4 h5f4 e2f3 e7g5 h2h4 g5h6 g4g5 h6g7 f3f4 f7f6 e5g4 f6g5 f4g5 f8f5 g5e3 g8h8 e3e6 h7h5 g4e3 f5f4 e3d5 f4f5 d5e7 a8e8 e7g6 g7g6 e6e8 g6e8 e1f1 e8e3 h1h2 e3d3 f1g1 d3c2 f2f3 c2b2 h2b2 f5f3 a1f1 f3c3 b2e2 c3c4 f1f7 h8g8 f7a7 c4d4 e2e8
113,draw,draw, d2d4 d7d5 c2c4 g8f6 b1c3 c8f5 c1f4 a7a6 g1f3 e7e6 a2a3 b8c6 e2e3 f5g4 h2h3 g4f3 d1f3 f8d6 f1d3 d6f4 f3f4 e8g8 c4d5 f6d5 c3d5 d8d5 f4e4 d5e4 d3e4 a8d8 e4c6 b7c6 a1c1 d8d6 e1e2 f8e8 h1d1 e8b8 b2b4 b8b5 c1c4 a6a5 d1c1 a5b4 a3b4 b5b6 f2f4 g8f8 e2d3 f8e8 e3e4 f7f6 e4e5 f6e5 f4e5 d6d5 c4c6 b6b4 c1c4 b4c4 d3c4 e8d7 c6a6 d7c8 a6e6 d5d7 d4d5 d7f7 e6e8 c8b7 e5e6 f7f2 e6e7 f2e2 c4d4 h7h6 g2g4 g7g5 d5d6 c7d6 d4d5 b7c7 e8h8 e2e7 h8h6 e7e3 h3h4 g5h4 h6h4 e3d3 d5e4 d3a3 e4f5 a3a5 f5f4 d6d5 g4g5 a5a4 f4g3 a4h4 g3h4 c7d7 g5g6 d7e7 g6g7 e7f7 h4g5 f7g7 g5f5 d5d4 f5e4 d4d3 e4d3
135,mate,white, e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 d8b6 g1f3 b8c6 a2a3 c8d7 f1e2 f8e7 e1g1 g8h6 d4c5 e7c5 b2b4 c5e7 c1e3 b6c7 c3c4 d5c4 e2c4 h6f5 e3f4 e8g8 b1d2 a8d8 d1e2 c6d4 f3d4 f5d4 e2g4 d4f5 a1c1 c7b6 d2f3 d7b5 f4g5 b5c4 c1c4 e7g5 f3g5 d8d4 c4d4 b6d4 g4d4 f5d4 f1d1 d4c2 d1d7 h7h6 g5e4 f8b8 e4d6 c2a3 d7f7 a3c4 d6c4 b8c8 f7f4 b7b5 c4e3 c8c1 e3f1 c1b1 g2g3 a7a5 b4a5 b5b4 a5a6 b4b3 a6a7 b1a1 f4b4 a1a7 b4b3 g8f7 f1e3 f7g6 f2f4 a7d7 g1f2 h6h5 h2h4 g6f7 b3b6 d7c7 f2e2 c7d7 e3c4 f7e7 c4d6 d7c7 b6b7 c7d7 b7d7 e7d7 e2d3 d7e7 d3c4 e7d7 c4c5 d7e7 c5c6 e7d8 d6f7 d8e7 f7g5 e7d8 g5e6 d8e7 e6g7 e7f7 g7h5 f7e6 g3g4 e6f7 f4f5 f7g8 e5e6 g8f8 c6d7 f8g8 f5f6 g8h8 g4g5 h8g8 g5g6 g8h8 e6e7 h8g8 e7e8r
70,mate,black, e2e4 e7e6 g1f3 d7d5 e4d5 e6d5 d2d4 g8f6 c2c4 c7c6 b1c3 c8e6 c1g5 f8e7 d1c2 h7h6 g5f4 e8g8 e1c1 d5c4 h2h4 f6d5 c3d5 c6d5 f3e5 e7d6 g2g4 b8d7 g4g5 h6h5 g5g6 f7f6 e5f7 d6f4 c1b1 e6f7 g6f7 f8f7 c2f5 d8c7 f5d5 a8c8 f1h3 g8f8 h3e6 f7e7 h1h3 d7b6 d5e4 c8e8 d4d5 b6d5 d1d5 e7e6 e4h7 e6e1 b1c2 e8e2 c2c3 f4e5 c3b4 e2b2 b4a3 b7b5 h7h8 f8f7 h8h5 f7e7 h5g6 c7a5
111,mate,white, d2d4 d7d5 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 g1f3 c5d4 f3d4 b8c6 e2e3 g8f6 h2h3 e8g8 d4c6 b7c6 f1d3 d8a5 c1d2 c8a6 e1g1 d5c4 d3e2 f8d8 f1d1 f6d5 c3d5 c6c5 a2a3 b4d2 d1d2 d8d5 d2d5 e6d5 e3e4 d5e4 c2e4 a8d8 e2c4 a5d2 c4a6 d2b2 a1e1 d8f8 a6d3 g7g6 a3a4 b2b4 e4b4 c5b4 e1b1 f8b8 d3b5 a7a5 g1f1 g8f8 f1e2 f8e7 e2d3 e7d6 d3d4 f7f5 f2f4 h7h5 g2g3 b8e8 b5e8 d6e7 e8g6 e7f6 g6h5 f6e6 b1e1 e6d6 e1d1 d6c6 d4e5 c6c5 d1d5 c5c4 d5a5 b4b3 h5g6 b3b2 g6f5 c4c3 a5c5 c3d2 a4a5 d2d1 a5a6 d1d2 a6a7 d2d1 a7a8q d1d2 a8d5 d2e1 d5e4 e1d2 e4d3 d2e1 d3b1 e1f2 c5c2 f2g3 b1g1 g3f3 g1f2
54,mate,black, e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 b5c6 d7c6 h2h3 g8f6 b1c3 d8e7 e1g1 e8g8 d2d4 e5d4 f3d4 f6e4 c3e4 e7e4 d4b3 c5d6 f1e1 e4g6 d1f3 g6c2 b3d4 c2c5 c1e3 c5e5 b2b3 e5h2 g1f1 c8d7 d4f5 d7f5 f3f5 a8e8 g2g3 e8e3 f2e3 d6g3 e1d1 h2h1 f1e2 h1g2 e2d3 f8d8 d3c3 g3e1 c3c4 g2e2 c4c5 e2b5
40,mate,black, e2e4 e7e5 f1c4 g8f6 d2d4 e5d4 d1d4 b8c6 d4e3 f8b4 c1d2 e8g8 a2a3 b4d2 b1d2 d7d5 e4d5 f8e8 d5c6 e8e3 f2e3 b7b5 c4b3 f6g4 g1h3 g4e3 e1e2 e3g2 h3f2 c8f5 a1d1 d8e8 e2f3 g2h4 f3g3 e8e5 g3h4 e5f4 h4h5 g7g6
59,mate,white, d2d4 d7d5 g1f3 g8f6 c1f4 b8c6 e2e3 c8f5 f1b5 e7e6 f3e5 f8b4 c2c3 b4a5 e5c6 d8c8 c6a7 c8d7 b5d7 f6d7 a7b5 e8g8 b5c7 a8a6 c7a6 d7f6 a6c5 f6g4 h2h3 g4f2 e1f2 a5c3 b2c3 e6e5 f4e5 b7b6 c5a4 f5b1 a1b1 b6b5 b1b5 f8d8 b5b8 d8f8 b8f8 g8f8 d1b3 f8e7 b3b7 e7e6 b7c6 e6f5 g2g4 f5e4 c3c4 e4d3 h1d1 d3e4 c6d5
23,mate,white, e2e4 e7e5 g1f3 b8c6 f1c4 f8b4 c2c3 b4c5 b2b4 c5b6 d2d3 g8f6 f3g5 e8g8 c4f7 g8h8 f7d5 f6d5 e4d5 c6e7 d1h5 e7d5 h5h7
118,mate,black, e2e4 g8f6 e4e5 f6d5 d2d4 e7e6 c2c3 f8e7 g1f3 d7d6 f1b5 c7c6 b5a4 b7b6 c3c4 d5b4 a2a3 b4a6 d4d5 e6d5 d1d5 b6b5 d5d1 b5a4 d1a4 a6c5 a4d1 d6e5 f3e5 d8d1 e1d1 e7f6 h1e1 e8g8 g2g4 f6e5 e1e5 c5d3 e5e7 d3f2 d1e2 f2g4 e7e4 g4h2 c1f4 c8g4 e2f2 f7f5 e4e7 h2f3 b1c3 c6c5 a1d1 b8c6 d1d7 c6e7 f4d6 a8d8 d6e7 d8d7 e7f8 g8f8 b2b4 c5b4 a3b4 d7d2 c3e2 f3d4 f2e3 g4e2 c4c5 g7g5 b4b5 d2d3 e3f2 d3f3 f2e1 d4c2 e1e2 f3e3 e2d2 e3e8 d2c2 f5f4 c5c6 f4f3 c2d2 f3f2 c6c7 f2f1q d2c3 f1e1 c3c4 e8c8 b5b6 a7b6 c4b5 e1e5 b5b6 e5c7 b6a6 c8a8 a6b5 c7b7 b5c5 a8c8 c5d4 b7d7 d4e4 c8e8 e4f3 d7d4 f3g3 e8e3 g3h2 d4d2 h2g1 e3e1
66,mate,black, e2e4 c7c5 g1f3 g8f6 d2d4 f6e4 d4c5 e4c5 d1d5 e7e6 d5h5 c5e4 f3e5 g7g6 h5f3 d8e7 f3e4 d7d5 e4a4 c8d7 e5d7 b8d7 f1b5 f8g7 b5d7 e7d7 a4d7 e8d7 b1c3 h8e8 c1d2 a8c8 e1g1 d5d4 c3e4 c8c2 a1c1 c2b2 e4c5 d7e7 d2g5 e7f8 c5d7 f8g8 d7f6 g7f6 g5f6 e6e5 c1c7 b2b6 f1c1 b6f6 c7c8 g8f8 c8e8 f8e8 c1c8 e8e7 c8c7 e7f8 c7c8 f8g7 c8c7 f6b6 c7e7 b6b1
120,draw,draw, e2e4 g8f6 b1c3 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 e8g8 d2d3 d7d6 h2h3 c8e6 c4e6 f7e6 f3h2 d6d5 d1f3 d5e4 d3e4 c6d4 f3g3 c5b4 c1h6 f8f7 a1e1 b4c3 b2c3 f6e4 e1e4 d4f5 g3e5 f5h6 e4d4 d8f6 e5g3 h6f5 d4f4 f5g3 f4f6 g3f1 f6e6 f1d2 h2g4 g8f8 g4e5 a8e8 e6e8 f8e8 e5f7 e8f7 h3h4 h7h6 g1h2 g7g5 g2g3 g5g4 h2g2 d2e4 f2f3 g4f3 g2f3 e4c3 a2a3 c3b1 a3a4 c7c5 f3e4 c5c4 e4d4 b1a3 d4c3 a7a6 g3g4 a3b1 c3c4 b1a3 c4c3 b7b5 a4b5 a3b5 c3b4 b5c7 c2c4 f7g6 h4h5 g6g5 b4a5 g5g4 a5b6 c7a8 b6a6 a8c7 a6b7 g4h5 b7c7 h5g5 c7b7 h6h5 c4c5 h5h4 c5c6 h4h3 c6c7 h3h2 c7c8q h2h1q b7c7 h1c1 c7b7 c1b2 b7a8 b2e2 c8c5 g5f4 c5d4 e2e4 d4e4 f4e4
36,mate,black, e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 f6d5 g5f7 e8f7 d1f3 f7e8 c4d5 d8e7 d2d3 c6d4 f3d1 c7c6 d5c4 b7b5 c4b3 c8f5 c2c3 d4b3 a2b3 a8d8 d3d4 e5d4 e1f1 d4c3 d1e1 f5d3 f1g1 e7e1
26,mate,black, e2e4 e7e5 g1f3 b8c6 f1c4 h7h6 e1g1 d7d6 d2d3 a7a6 a2a4 c8g4 c1e3 d8f6 h2h3 g4f3 g2f3 f8e7 f3f4 e5f4 e3d2 f4f3 d2c3 f6g6 g1h2 g6g2
47,mate,white, e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 d1e2 b8d7 f2f3 e7e6 f3f4 d8a5 c1d2 a5h5 e2h5 f6h5 f1e2 h5f4 d2f4 e6e5 d4e6 e5f4 e6c7 e8d8 c7a8 d7f6 e1g1 c8d7 f1f4 d8c8 e4e5 d6e5 f4c4 d7c6 e2f3 e5e4 f3e2 c8b8 b1c3 b8a8 h2h3 e4e3 e2f3 c6f3 c4c8
85,mate,white, c2c4 e7e5 g2g3 d7d5 c4d5 d8d5 g1f3 g7g5 b1c3 d5c6 f1g2 g5g4 f3h4 c6e6 e1g1 f8e7 g2d5 e6a6 h4f5 c8f5 e2e4 f5e6 d1b3 c7c6 d5e6 f7e6 b3e6 c6c5 e6e5 a6f6 e5h5 f6g6 h5e5 g6f6 e5h5 e8f8 c3d5 f6d6 h5f5 g8f6 f5c8 d6d8 c8b7 b8d7 d5c7 a8b8 c7e6 f8e8 e6d8 b8b7 d8b7 f6e4 d2d3 e4g5 c1g5 e7g5 b7d6 e8e7 d6e4 d7f6 f1e1 f6e4 e1e4 e7f6 e4g4 h7h6 a1c1 g5c1 g4c4 c1b2 c4c5 h8d8 c5c6 f6g5 h2h4 g5f5 c6h6 d8d3 h6h5 f5g4 h5b5 d3d1 g1g2 b2c3 f2f3
39,mate,white, e2e4 h7h5 d2d4 d7d5 e4d5 d8d5 g2g4 c8g4 f2f3 g4f3 g1f3 d5e4 f1e2 f7f6 b1c3 e4e6 d4d5 e6b6 c3a4 b6a5 a4c3 e7e5 d5e6 g7g5 c1d2 a5b6 e2c4 b6b2 c3d5 c7c6 d5c7 e8e7 e1g1 b7b5 c4b3 h5h4 d2b4 c6c5 b4c5
58,mate,black, d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1d2 e8g8 e2e3 d7d5 c4d5 e6d5 d1b3 b4c3 d2c3 f6d7 b3d5 d7b6 d5d8 f8d8 g1f3 c8f5 f1e2 b8c6 e1g1 b6a4 a2a3 a4c3 b2c3 b7b5 a1b1 a7a6 e2b5 a6b5 b1b5 f5d3 b5c5 d3f1 c5c6 f1b5 c6c7 a8a3 f3e5 b5a6 g2g3 d8c8 c7a7 c8c3 a7f7 a3b3 f7d7 c3c8 d7a7 a6b7 h2h4 c8c1 g1h2 c1h1
